timestamp,text,location,sentiment_score,sentiment
2024-05-30,Library snacks: chips. Mood: delusional - 3831,"New Brunswick, NJ",0.0,neutral
2024-06-14,I just submitted an assignment at 4:30AM and now I have class in 3 hour(s) - 84be,"New Brunswick, NJ",0.0,neutral
2024-05-06,Essays got me like '😩' - 881f,"New Brunswick, NJ",0.3612,positive
2024-05-10,I just submitted an assignment at 3AM and now I have class in 2 hour(s) - 0b4c,"New Brunswick, NJ",0.0,neutral
2024-03-14,5 exams. 1 projects. Pray for me - aabd,"New Brunswick, NJ",0.3182,positive
2024-03-12,My professor said 'this will be easy' and now I’m crying - 0276,"New Brunswick, NJ",-0.0516,negative
2024-03-21,4 exams. 2 projects. Pray for me - 49bb,"New Brunswick, NJ",0.3182,positive
2024-05-08,Finals got me like '😭' - cf02,"New Brunswick, NJ",0.3612,positive
2024-03-15,5 exams. 1 projects. Send help - d02e,"New Brunswick, NJ",0.4019,positive
2024-04-20,My professor said 'this will be easy' and now I’m crying - 44f4,"New Brunswick, NJ",-0.0516,negative
2024-06-15,2 exams. 1 projects. I’m not okay - 97ea,"New Brunswick, NJ",-0.1695,negative
2024-06-17,4 exams. 1 projects. Pray for me - 889f,"New Brunswick, NJ",0.3182,positive
2024-04-08,I just submitted an assignment at 3AM and now I have class in 3 hour(s) - 0a06,"New Brunswick, NJ",0.0,neutral
2024-06-06,My professor said 'this will be easy' and now I’m crying - a70e,"New Brunswick, NJ",-0.0516,negative
2024-04-05,Library snacks: chips. Mood: numb - 11a5,"New Brunswick, NJ",-0.34,negative
2024-04-22,Essays got me like '😵‍💫' - 1ee1,"New Brunswick, NJ",0.3612,positive
2024-06-01,Library snacks: ramen. Mood: delusional - 59eb,"New Brunswick, NJ",0.0,neutral
2024-03-30,3 exams. 2 projects. Send help - 8194,"New Brunswick, NJ",0.4019,positive
2024-06-20,4 exams. 2 projects. I’m not okay - 0264,"New Brunswick, NJ",-0.1695,negative
2024-04-05,3 exams. 3 projects. I’m not okay - f781,"New Brunswick, NJ",-0.1695,negative
2024-06-09,Essays got me like '😵‍💫' - f472,"New Brunswick, NJ",0.3612,positive
2024-06-19,I just submitted an assignment at 3AM and now I have class in 2 hour(s) - 7dea,"New Brunswick, NJ",0.0,neutral
2024-04-18,Finals got me like '😩' - 9f95,"New Brunswick, NJ",0.3612,positive
2024-03-17,Midterms got me like '😩' - 1d40,"New Brunswick, NJ",0.3612,positive
2024-03-25,2 exams. 2 projects. I’m not okay - 3bdd,"New Brunswick, NJ",-0.1695,negative
